vulnerability_id,cve_id,server_id,office_id,severity,os_type,is_eol_os,component_name,is_eol_component,discovery_date
VULN-00025,CVE-2022-81880,SERVER-048,Office-C,High,RedHat Enterprise Linux 8,FALSE,OpenSSL,FALSE,2023-12-03
VULN-00026,CVE-2022-48456,SERVER-027,Office-B,High,Debian 9,TRUE,Python 2.7,TRUE,2023-10-04
VULN-00027,CVE-2023-81787,SERVER-053,Office-C,High,CentOS 7,TRUE,nginx,FALSE,2024-02-12
VULN-00028,CVE-2024-40727,SERVER-064,Office-D,Low,Debian 9,TRUE,PostgreSQL,FALSE,2024-06-09
VULN-00029,CVE-2022-64094,SERVER-004,Office-A,High,CentOS 7,TRUE,Python 2.7,TRUE,2024-04-03
VULN-00030,CVE-2025-24371,SERVER-064,Office-D,Critical,Debian 9,TRUE,JBoss,TRUE,2025-07-23
VULN-00031,CVE-2021-58781,SERVER-022,Office-D,Low,Windows Server 2019,FALSE,Redis,FALSE,2023-08-17
VULN-00032,CVE-2024-87735,SERVER-061,Office-D,High,Windows Server 2019,FALSE,Spring Framework,FALSE,2024-01-18
VULN-00033,CVE-2021-7390,SERVER-069,Office-C,Low,Linux,FALSE,Python 2.7,TRUE,2023-08-24
VULN-00034,CVE-2024-53050,SERVER-020,Office-B,Critical,Linux,FALSE,JBoss,TRUE,2024-02-11
VULN-00035,CVE-2021-58305,SERVER-008,Office-D,Low,Windows Server 2022,FALSE,Node.js,FALSE,2023-10-20
VULN-00036,CVE-2021-75939,SERVER-064,Office-D,Medium,Debian 9,TRUE,Struts 2,TRUE,2023-12-11
VULN-00037,CVE-2023-74668,SERVER-056,Office-C,Medium,CentOS 7,TRUE,PostgreSQL,FALSE,2025-01-07
VULN-00038,CVE-2023-6013,SERVER-037,Office-B,Medium,CentOS 7,TRUE,Python 2.7,TRUE,2025-02-03
VULN-00039,CVE-2024-11397,SERVER-017,Office-A,Critical,RedHat Enterprise Linux 8,FALSE,OpenSSH,FALSE,2025-04-03
VULN-00040,CVE-2023-26672,SERVER-028,Office-B,High,Debian 9,TRUE,Spring Framework,FALSE,2023-07-27
VULN-00041,CVE-2022-19067,SERVER-002,Office-D,Medium,Ubuntu 20.04,FALSE,Spring Framework,FALSE,2024-10-27
VULN-00042,CVE-2022-88635,SERVER-042,Office-D,Medium,CentOS 7,TRUE,Python 2.7,TRUE,2025-03-19
VULN-00043,CVE-2023-53451,SERVER-030,Office-D,Low,RedHat Enterprise Linux 8,FALSE,Spring Framework,FALSE,2024-07-31
VULN-00044,CVE-2025-9496,SERVER-030,Office-D,Low,RedHat Enterprise Linux 8,FALSE,IIS,FALSE,2024-12-23
VULN-00045,CVE-2021-85509,SERVER-068,Office-C,High,Debian 9,TRUE,Python 2.7,TRUE,2024-12-04
VULN-00046,CVE-2021-71827,SERVER-010,Office-A,Low,Debian 9,TRUE,nginx,FALSE,2024-05-11
VULN-00047,CVE-2023-48339,SERVER-046,Office-B,Medium,Windows Server 2019,FALSE,Node.js,FALSE,2024-06-28
VULN-00048,CVE-2023-95127,SERVER-016,Office-C,Medium,Debian 9,TRUE,Apache HTTP Server,FALSE,2023-09-29
VULN-00049,CVE-2023-47678,SERVER-024,Office-D,Low,Windows Server 2016,TRUE,Struts 2,TRUE,2024-08-07
VULN-00050,CVE-2025-35136,SERVER-035,Office-C,High,Debian 9,TRUE,Tomcat,FALSE,2025-07-08
VULN-00051,CVE-2024-85176,SERVER-018,Office-B,Medium,Debian 9,TRUE,Struts 2,TRUE,2023-08-06
VULN-00052,CVE-2023-25542,SERVER-002,Office-D,Medium,Ubuntu 20.04,FALSE,OpenSSL,FALSE,2024-07-26
VULN-00053,CVE-2025-48181,SERVER-035,Office-C,High,Debian 9,TRUE,Python 2.7,TRUE,2024-06-10
VULN-00054,CVE-2022-51170,SERVER-045,Office-B,Medium,RedHat Enterprise Linux 8,FALSE,nginx,FALSE,2024-08-27
VULN-00055,CVE-2024-83386,SERVER-007,Office-D,High,Windows Server 2016,TRUE,PHP 5.6,TRUE,2023-07-28
VULN-00056,CVE-2023-10034,SERVER-020,Office-B,Critical,Linux,FALSE,PHP 5.6,TRUE,2024-10-08
VULN-00057,CVE-2025-66250,SERVER-005,Office-C,High,Windows Server 2022,FALSE,PHP 5.6,TRUE,2024-12-06
VULN-00058,CVE-2023-40411,SERVER-020,Office-B,Medium,Linux,FALSE,Python 2.7,TRUE,2024-12-27
VULN-00059,CVE-2022-16687,SERVER-005,Office-C,Low,Windows Server 2022,FALSE,Apache HTTP Server,FALSE,2024-04-30
VULN-00060,CVE-2023-24742,SERVER-014,Office-D,High,Ubuntu 20.04,FALSE,MySQL,FALSE,2024-01-20
VULN-00061,CVE-2024-61956,SERVER-016,Office-C,Critical,Debian 9,TRUE,Apache HTTP Server,FALSE,2025-04-02
VULN-00062,CVE-2022-22764,SERVER-042,Office-D,Medium,CentOS 7,TRUE,PHP 5.6,TRUE,2024-01-29
VULN-00063,CVE-2024-75061,SERVER-064,Office-D,Low,Debian 9,TRUE,Apache HTTP Server,FALSE,2025-07-19
VULN-00064,CVE-2022-4321,SERVER-018,Office-B,High,Debian 9,TRUE,Spring Framework,FALSE,2025-04-08
VULN-00065,CVE-2025-31733,SERVER-037,Office-B,Critical,CentOS 7,TRUE,JBoss,TRUE,2024-01-10
VULN-00066,CVE-2023-61052,SERVER-024,Office-D,Critical,Windows Server 2016,TRUE,PHP 5.6,TRUE,2024-01-23
VULN-00067,CVE-2025-16694,SERVER-043,Office-D,High,Windows Server 2022,FALSE,Python 2.7,TRUE,2024-09-03
VULN-00068,CVE-2023-99546,SERVER-009,Office-D,High,Debian 9,TRUE,Struts 2,TRUE,2024-10-23
VULN-00069,CVE-2025-47580,SERVER-012,Office-B,Medium,Debian 9,TRUE,Redis,FALSE,2023-08-07
VULN-00070,CVE-2025-77300,SERVER-068,Office-C,Medium,Debian 9,TRUE,Apache HTTP Server,FALSE,2025-04-09
VULN-00071,CVE-2025-74177,SERVER-008,Office-D,Low,Windows Server 2022,FALSE,Struts 2,TRUE,2025-06-07
VULN-00072,CVE-2021-96448,SERVER-007,Office-D,Critical,Windows Server 2016,TRUE,OpenSSL,FALSE,2025-07-23
VULN-00073,CVE-2025-87896,SERVER-062,Office-A,Low,Windows Server 2016,TRUE,Node.js,FALSE,2025-06-23
VULN-00074,CVE-2022-86210,SERVER-068,Office-C,Medium,Debian 9,TRUE,Python 2.7,TRUE,2024-09-04
VULN-00075,CVE-2022-52060,SERVER-059,Office-A,Medium,Debian 9,TRUE,Python 2.7,TRUE,2025-04-30
VULN-00076,CVE-2025-80483,SERVER-022,Office-D,High,Windows Server 2019,FALSE,Apache HTTP Server,FALSE,2023-10-21
VULN-00077,CVE-2022-84976,SERVER-008,Office-D,High,Windows Server 2022,FALSE,JBoss,TRUE,2023-10-10
VULN-00078,CVE-2025-81531,SERVER-048,Office-C,High,RedHat Enterprise Linux 8,FALSE,Python 2.7,TRUE,2024-07-14
VULN-00079,CVE-2022-78794,SERVER-052,Office-A,High,Linux,FALSE,JBoss,TRUE,2023-10-08
VULN-00080,CVE-2024-38924,SERVER-040,Office-B,Medium,Debian 9,TRUE,Struts 2,TRUE,2025-01-20
VULN-00081,CVE-2023-93145,SERVER-031,Office-A,High,Ubuntu 20.04,FALSE,Tomcat,FALSE,2023-08-15
VULN-00082,CVE-2021-77442,SERVER-009,Office-D,High,Debian 9,TRUE,Spring Framework,FALSE,2025-07-08
VULN-00083,CVE-2021-91821,SERVER-007,Office-D,Low,Windows Server 2016,TRUE,JBoss,TRUE,2025-01-15
VULN-00084,CVE-2022-49151,SERVER-023,Office-C,Low,Debian 9,TRUE,JBoss,TRUE,2025-05-25
VULN-00085,CVE-2025-31264,SERVER-044,Office-D,Low,CentOS 7,TRUE,Struts 2,TRUE,2025-04-17
VULN-00086,CVE-2022-53539,SERVER-064,Office-D,High,Debian 9,TRUE,Struts 2,TRUE,2023-08-11
VULN-00087,CVE-2025-66874,SERVER-008,Office-D,Critical,Windows Server 2022,FALSE,Struts 2,TRUE,2024-03-18
VULN-00088,CVE-2023-7026,SERVER-046,Office-B,Low,Windows Server 2019,FALSE,Python 2.7,TRUE,2023-11-25
VULN-00089,CVE-2021-46486,SERVER-004,Office-A,Low,CentOS 7,TRUE,JBoss,TRUE,2024-02-13
VULN-00090,CVE-2022-34078,SERVER-020,Office-B,Medium,Linux,FALSE,JBoss,TRUE,2024-06-12
VULN-00091,CVE-2022-79285,SERVER-006,Office-D,Low,CentOS 7,TRUE,Spring Framework,FALSE,2025-04-03
VULN-00092,CVE-2023-30584,SERVER-006,Office-D,High,CentOS 7,TRUE,OpenSSH,FALSE,2025-04-29
VULN-00093,CVE-2021-82029,SERVER-065,Office-A,Critical,Windows Server 2016,TRUE,Redis,FALSE,2025-04-05
VULN-00094,CVE-2025-16687,SERVER-068,Office-C,Critical,Debian 9,TRUE,JBoss,TRUE,2023-09-21
VULN-00095,CVE-2022-10274,SERVER-003,Office-D,Low,Windows Server 2016,TRUE,JBoss,TRUE,2025-01-11
VULN-00096,CVE-2022-29010,SERVER-036,Office-B,Medium,Windows Server 2016,TRUE,JBoss,TRUE,2023-11-16
VULN-00097,CVE-2024-63097,SERVER-041,Office-B,Low,Windows Server 2016,TRUE,Tomcat,FALSE,2025-06-30
VULN-00098,CVE-2023-96479,SERVER-066,Office-A,Low,CentOS 7,TRUE,PostgreSQL,FALSE,2023-12-13
VULN-00099,CVE-2022-77911,SERVER-005,Office-C,High,Windows Server 2022,FALSE,JBoss,TRUE,2024-03-12
VULN-00100,CVE-2025-40560,SERVER-004,Office-A,High,CentOS 7,TRUE,PostgreSQL,FALSE,2024-07-21
VULN-00101,CVE-2023-37110,SERVER-035,Office-C,Low,Debian 9,TRUE,JBoss,TRUE,2024-10-26
VULN-00102,CVE-2023-41465,SERVER-069,Office-C,Low,Linux,FALSE,Node.js,FALSE,2024-05-06
VULN-00103,CVE-2023-30152,SERVER-034,Office-A,High,Windows Server 2016,TRUE,Struts 2,TRUE,2024-11-27
VULN-00104,CVE-2021-84050,SERVER-064,Office-D,Low,Debian 9,TRUE,Python 2.7,TRUE,2025-01-21
VULN-00105,CVE-2024-39403,SERVER-027,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2023-09-17
VULN-00106,CVE-2022-29525,SERVER-036,Office-B,High,Windows Server 2016,TRUE,Redis,FALSE,2023-12-22
VULN-00107,CVE-2022-25461,SERVER-035,Office-C,Low,Debian 9,TRUE,OpenSSH,FALSE,2025-01-25
VULN-00108,CVE-2023-51645,SERVER-060,Office-B,High,Windows Server 2016,TRUE,PHP 5.6,TRUE,2025-04-09
VULN-00109,CVE-2023-78258,SERVER-062,Office-A,High,Windows Server 2016,TRUE,PHP 5.6,TRUE,2024-09-21
VULN-00110,CVE-2021-30966,SERVER-025,Office-A,Medium,Windows Server 2019,FALSE,PHP 5.6,TRUE,2023-07-31
VULN-00111,CVE-2025-11667,SERVER-027,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2023-12-18
VULN-00112,CVE-2024-50291,SERVER-057,Office-B,High,Windows Server 2022,FALSE,Apache HTTP Server,FALSE,2024-05-11
VULN-00113,CVE-2021-84161,SERVER-043,Office-D,Low,Windows Server 2022,FALSE,IIS,FALSE,2025-06-11
VULN-00114,CVE-2024-50918,SERVER-012,Office-B,High,Debian 9,TRUE,PHP 5.6,TRUE,2025-03-03
VULN-00115,CVE-2023-19990,SERVER-002,Office-D,Medium,Ubuntu 20.04,FALSE,JBoss,TRUE,2024-06-03
VULN-00116,CVE-2022-73860,SERVER-002,Office-D,Critical,Ubuntu 20.04,FALSE,IIS,FALSE,2024-08-12
VULN-00117,CVE-2025-94063,SERVER-030,Office-D,Low,RedHat Enterprise Linux 8,FALSE,Redis,FALSE,2024-10-24
VULN-00118,CVE-2024-37816,SERVER-065,Office-A,Medium,Windows Server 2016,TRUE,PostgreSQL,FALSE,2024-05-15
VULN-00119,CVE-2022-54485,SERVER-036,Office-B,Critical,Windows Server 2016,TRUE,PHP 5.6,TRUE,2024-08-30
VULN-00120,CVE-2023-8678,SERVER-001,Office-D,High,Debian 9,TRUE,MySQL,FALSE,2025-07-07
VULN-00121,CVE-2021-42808,SERVER-047,Office-B,High,RedHat Enterprise Linux 8,FALSE,JBoss,TRUE,2024-12-03
VULN-00122,CVE-2025-26857,SERVER-066,Office-A,High,CentOS 7,TRUE,PHP 5.6,TRUE,2024-03-25
VULN-00123,CVE-2023-59449,SERVER-040,Office-B,Medium,Debian 9,TRUE,Python 2.7,TRUE,2024-12-09
VULN-00124,CVE-2022-95149,SERVER-068,Office-C,High,Debian 9,TRUE,Struts 2,TRUE,2025-03-07
VULN-00125,CVE-2022-24679,SERVER-048,Office-C,Medium,RedHat Enterprise Linux 8,FALSE,OpenSSL,FALSE,2024-02-25
VULN-00126,CVE-2021-21536,SERVER-004,Office-A,High,CentOS 7,TRUE,OpenSSL,FALSE,2025-04-15
VULN-00127,CVE-2024-68519,SERVER-009,Office-D,Low,Debian 9,TRUE,PostgreSQL,FALSE,2025-03-24
VULN-00128,CVE-2022-5925,SERVER-025,Office-A,Medium,Windows Server 2019,FALSE,JBoss,TRUE,2024-05-24
VULN-00129,CVE-2023-86223,SERVER-023,Office-C,Medium,Debian 9,TRUE,PHP 5.6,TRUE,2025-05-08
VULN-00130,CVE-2025-50360,SERVER-004,Office-A,Medium,CentOS 7,TRUE,PostgreSQL,FALSE,2025-02-01
VULN-00131,CVE-2022-62144,SERVER-040,Office-B,Medium,Debian 9,TRUE,Python 2.7,TRUE,2023-10-21
VULN-00132,CVE-2025-19403,SERVER-037,Office-B,Medium,CentOS 7,TRUE,JBoss,TRUE,2024-12-19
VULN-00133,CVE-2021-32155,SERVER-003,Office-D,Medium,Windows Server 2016,TRUE,Redis,FALSE,2024-01-23
VULN-00134,CVE-2024-44067,SERVER-022,Office-D,Critical,Windows Server 2019,FALSE,PHP 5.6,TRUE,2024-12-18
VULN-00135,CVE-2024-23707,SERVER-062,Office-A,High,Windows Server 2016,TRUE,Node.js,FALSE,2023-08-07
VULN-00136,CVE-2023-27858,SERVER-030,Office-D,Medium,RedHat Enterprise Linux 8,FALSE,Apache HTTP Server,FALSE,2023-08-23
VULN-00137,CVE-2021-24334,SERVER-031,Office-A,Critical,Ubuntu 20.04,FALSE,Node.js,FALSE,2024-09-29
VULN-00138,CVE-2025-13285,SERVER-014,Office-D,Critical,Ubuntu 20.04,FALSE,Node.js,FALSE,2025-03-12
VULN-00139,CVE-2025-52533,SERVER-002,Office-D,Medium,Ubuntu 20.04,FALSE,Struts 2,TRUE,2023-09-22
VULN-00140,CVE-2021-54133,SERVER-049,Office-C,Critical,Windows Server 2019,FALSE,PHP 5.6,TRUE,2025-07-02
VULN-00141,CVE-2025-41560,SERVER-005,Office-C,High,Windows Server 2022,FALSE,OpenSSH,FALSE,2024-10-05
VULN-00142,CVE-2024-62292,SERVER-022,Office-D,Low,Windows Server 2019,FALSE,Redis,FALSE,2025-01-08
VULN-00143,CVE-2023-74439,SERVER-047,Office-B,High,RedHat Enterprise Linux 8,FALSE,Redis,FALSE,2024-09-10
VULN-00144,CVE-2022-24989,SERVER-065,Office-A,Critical,Windows Server 2016,TRUE,Struts 2,TRUE,2024-10-23
VULN-00145,CVE-2025-45131,SERVER-049,Office-C,Medium,Windows Server 2019,FALSE,Struts 2,TRUE,2024-01-24
VULN-00146,CVE-2024-27105,SERVER-066,Office-A,High,CentOS 7,TRUE,Python 2.7,TRUE,2023-10-26
VULN-00147,CVE-2025-83264,SERVER-069,Office-C,Medium,Linux,FALSE,JBoss,TRUE,2024-08-06
VULN-00148,CVE-2025-73644,SERVER-040,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2024-09-27
VULN-00149,CVE-2022-94636,SERVER-059,Office-A,High,Debian 9,TRUE,Python 2.7,TRUE,2024-01-19
VULN-00150,CVE-2022-99369,SERVER-007,Office-D,Medium,Windows Server 2016,TRUE,MySQL,FALSE,2023-12-07
VULN-00151,CVE-2021-77497,SERVER-037,Office-B,Critical,CentOS 7,TRUE,Python 2.7,TRUE,2024-07-09
VULN-00152,CVE-2024-56606,SERVER-023,Office-C,Low,Debian 9,TRUE,OpenSSL,FALSE,2024-03-24
VULN-00153,CVE-2021-51472,SERVER-030,Office-D,High,RedHat Enterprise Linux 8,FALSE,Struts 2,TRUE,2024-02-14
VULN-00154,CVE-2025-7272,SERVER-023,Office-C,Critical,Debian 9,TRUE,MySQL,FALSE,2024-03-30
VULN-00155,CVE-2022-39700,SERVER-051,Office-D,High,Ubuntu 20.04,FALSE,PHP 5.6,TRUE,2023-07-31
VULN-00156,CVE-2022-54926,SERVER-052,Office-A,Medium,Linux,FALSE,MySQL,FALSE,2025-07-15
VULN-00157,CVE-2023-41153,SERVER-059,Office-A,Medium,Debian 9,TRUE,Python 2.7,TRUE,2023-08-06
VULN-00158,CVE-2021-82077,SERVER-046,Office-B,Critical,Windows Server 2019,FALSE,Struts 2,TRUE,2025-04-30
VULN-00159,CVE-2023-34824,SERVER-036,Office-B,Medium,Windows Server 2016,TRUE,Spring Framework,FALSE,2024-12-14
VULN-00160,CVE-2022-46778,SERVER-017,Office-A,High,RedHat Enterprise Linux 8,FALSE,Apache HTTP Server,FALSE,2025-04-25
VULN-00161,CVE-2021-14513,SERVER-017,Office-A,Low,RedHat Enterprise Linux 8,FALSE,JBoss,TRUE,2025-01-06
VULN-00162,CVE-2021-16861,SERVER-028,Office-B,High,Debian 9,TRUE,MySQL,FALSE,2023-08-14
VULN-00163,CVE-2021-46150,SERVER-020,Office-B,High,Linux,FALSE,Struts 2,TRUE,2024-12-21
VULN-00164,CVE-2023-3676,SERVER-061,Office-D,Medium,Windows Server 2019,FALSE,OpenSSH,FALSE,2023-08-29
VULN-00165,CVE-2022-2750,SERVER-047,Office-B,Low,RedHat Enterprise Linux 8,FALSE,PostgreSQL,FALSE,2024-06-06
VULN-00166,CVE-2023-82046,SERVER-021,Office-B,Critical,Debian 9,TRUE,JBoss,TRUE,2024-02-23
VULN-00167,CVE-2023-18026,SERVER-045,Office-B,High,RedHat Enterprise Linux 8,FALSE,Struts 2,TRUE,2023-10-07
VULN-00168,CVE-2024-12759,SERVER-012,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2023-10-20
VULN-00169,CVE-2025-23393,SERVER-006,Office-D,High,CentOS 7,TRUE,OpenSSH,FALSE,2024-03-23
VULN-00170,CVE-2024-81807,SERVER-061,Office-D,Low,Windows Server 2019,FALSE,Python 2.7,TRUE,2024-04-20
VULN-00171,CVE-2021-1973,SERVER-059,Office-A,Medium,Debian 9,TRUE,Python 2.7,TRUE,2024-01-22
VULN-00172,CVE-2021-59801,SERVER-056,Office-C,Medium,CentOS 7,TRUE,nginx,FALSE,2024-06-07
VULN-00173,CVE-2022-43809,SERVER-012,Office-B,High,Debian 9,TRUE,Struts 2,TRUE,2024-02-24
VULN-00174,CVE-2025-89139,SERVER-066,Office-A,Low,CentOS 7,TRUE,Apache HTTP Server,FALSE,2024-02-14
VULN-00175,CVE-2024-72660,SERVER-014,Office-D,Low,Ubuntu 20.04,FALSE,Python 2.7,TRUE,2024-04-21
VULN-00176,CVE-2024-57532,SERVER-062,Office-A,High,Windows Server 2016,TRUE,PostgreSQL,FALSE,2024-11-24
VULN-00177,CVE-2024-21560,SERVER-049,Office-C,Medium,Windows Server 2019,FALSE,Struts 2,TRUE,2023-10-23
VULN-00178,CVE-2022-97383,SERVER-048,Office-C,Critical,RedHat Enterprise Linux 8,FALSE,OpenSSL,FALSE,2024-09-21
VULN-00179,CVE-2025-63154,SERVER-011,Office-D,High,Debian 9,TRUE,Redis,FALSE,2023-12-22
VULN-00180,CVE-2023-41660,SERVER-060,Office-B,High,Windows Server 2016,TRUE,OpenSSL,FALSE,2023-10-28
VULN-00181,CVE-2025-21844,SERVER-021,Office-B,Medium,Debian 9,TRUE,IIS,FALSE,2024-07-23
VULN-00182,CVE-2025-62109,SERVER-067,Office-D,Medium,CentOS 7,TRUE,Python 2.7,TRUE,2024-01-29
VULN-00183,CVE-2022-76472,SERVER-068,Office-C,High,Debian 9,TRUE,PHP 5.6,TRUE,2023-10-13
VULN-00184,CVE-2024-21898,SERVER-001,Office-D,High,Debian 9,TRUE,Struts 2,TRUE,2023-10-17
VULN-00185,CVE-2021-33342,SERVER-035,Office-C,Critical,Debian 9,TRUE,IIS,FALSE,2024-10-21
VULN-00186,CVE-2021-65316,SERVER-035,Office-C,High,Debian 9,TRUE,Tomcat,FALSE,2025-02-02
VULN-00187,CVE-2022-45944,SERVER-067,Office-D,Low,CentOS 7,TRUE,Python 2.7,TRUE,2024-02-05
VULN-00188,CVE-2021-50897,SERVER-037,Office-B,High,CentOS 7,TRUE,IIS,FALSE,2024-06-07
VULN-00189,CVE-2022-68010,SERVER-057,Office-B,Medium,Windows Server 2022,FALSE,Struts 2,TRUE,2024-03-11
VULN-00190,CVE-2024-3213,SERVER-045,Office-B,Medium,RedHat Enterprise Linux 8,FALSE,nginx,FALSE,2024-12-09
VULN-00191,CVE-2024-62867,SERVER-069,Office-C,Medium,Linux,FALSE,Spring Framework,FALSE,2023-12-25
VULN-00192,CVE-2024-19523,SERVER-049,Office-C,High,Windows Server 2019,FALSE,Spring Framework,FALSE,2023-09-02
VULN-00193,CVE-2022-6507,SERVER-062,Office-A,Medium,Windows Server 2016,TRUE,JBoss,TRUE,2024-05-20
VULN-00194,CVE-2023-84016,SERVER-024,Office-D,High,Windows Server 2016,TRUE,PHP 5.6,TRUE,2024-04-07
VULN-00195,CVE-2025-52209,SERVER-008,Office-D,Medium,Windows Server 2022,FALSE,Python 2.7,TRUE,2024-01-07
VULN-00196,CVE-2023-65508,SERVER-046,Office-B,Critical,Windows Server 2019,FALSE,JBoss,TRUE,2025-05-25
VULN-00197,CVE-2023-2405,SERVER-067,Office-D,Low,CentOS 7,TRUE,Python 2.7,TRUE,2025-07-24
VULN-00198,CVE-2025-38160,SERVER-016,Office-C,Medium,Debian 9,TRUE,nginx,FALSE,2024-01-19
VULN-00199,CVE-2025-77718,SERVER-053,Office-C,High,CentOS 7,TRUE,PHP 5.6,TRUE,2023-08-01
VULN-00200,CVE-2025-43195,SERVER-026,Office-C,Medium,Linux,FALSE,PostgreSQL,FALSE,2024-05-01
VULN-00201,CVE-2025-88275,SERVER-017,Office-A,Low,RedHat Enterprise Linux 8,FALSE,JBoss,TRUE,2024-10-23
VULN-00202,CVE-2025-20675,SERVER-069,Office-C,High,Linux,FALSE,PHP 5.6,TRUE,2025-04-11
VULN-00203,CVE-2025-37314,SERVER-053,Office-C,Medium,CentOS 7,TRUE,Redis,FALSE,2024-08-04
VULN-00204,CVE-2024-11092,SERVER-069,Office-C,High,Linux,FALSE,PHP 5.6,TRUE,2025-04-26
VULN-00205,CVE-2022-81340,SERVER-020,Office-B,High,Linux,FALSE,PHP 5.6,TRUE,2025-06-30
VULN-00206,CVE-2021-14630,SERVER-027,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2024-12-07
VULN-00207,CVE-2022-50745,SERVER-056,Office-C,Low,CentOS 7,TRUE,Python 2.7,TRUE,2025-03-25
VULN-00208,CVE-2021-97058,SERVER-012,Office-B,Low,Debian 9,TRUE,OpenSSH,FALSE,2025-03-17
VULN-00209,CVE-2022-6913,SERVER-026,Office-C,High,Linux,FALSE,Redis,FALSE,2024-01-01
VULN-00210,CVE-2023-23588,SERVER-037,Office-B,Low,CentOS 7,TRUE,Redis,FALSE,2024-08-24
VULN-00211,CVE-2024-47795,SERVER-027,Office-B,High,Debian 9,TRUE,JBoss,TRUE,2024-02-05
VULN-00212,CVE-2024-86600,SERVER-017,Office-A,High,RedHat Enterprise Linux 8,FALSE,OpenSSH,FALSE,2024-04-24
VULN-00213,CVE-2022-71534,SERVER-042,Office-D,Medium,CentOS 7,TRUE,MySQL,FALSE,2023-09-30
VULN-00214,CVE-2024-29145,SERVER-069,Office-C,Medium,Linux,FALSE,JBoss,TRUE,2023-10-04
VULN-00215,CVE-2023-27507,SERVER-025,Office-A,High,Windows Server 2019,FALSE,JBoss,TRUE,2023-08-02
VULN-00216,CVE-2023-19308,SERVER-053,Office-C,High,CentOS 7,TRUE,Spring Framework,FALSE,2025-06-06
VULN-00217,CVE-2021-30274,SERVER-015,Office-B,Low,Debian 9,TRUE,Struts 2,TRUE,2024-01-10
VULN-00218,CVE-2023-86419,SERVER-027,Office-B,High,Debian 9,TRUE,Apache HTTP Server,FALSE,2024-06-10
